imgt_subgroup	imgt_gene_name	imgt_allele_name	fct	chromosomal_localization	rearranged	transcribed	translated
TRBV1	TRBV1	TRBV1*01	P	7q34	FALSE	FALSE	
TRBV2	TRBV2	TRBV2*01	F	7q34	TRUE	TRUE	TRUE
TRBV2	TRBV2	TRBV2*02	(F)	7q34	TRUE	TRUE	TRUE
TRBV2	TRBV2	TRBV2*03	(F)	7q34	TRUE	TRUE	TRUE
TRBV3	TRBV3-1	TRBV3-1*01	F	7q34	TRUE	TRUE	TRUE
TRBV3	TRBV3-1	TRBV3-1*01	F	7q34	TRUE	TRUE	TRUE
TRBV3	TRBV3-1	TRBV3-1*01	F	7q34	TRUE	TRUE	TRUE
TRBV3	TRBV3-1	TRBV3-1*02	(F)	7q34	TRUE	TRUE	TRUE
TRBV3	TRBV3-2	TRBV3-2*01	P	7q34	TRUE	TRUE	
TRBV3	TRBV3-2	TRBV3-2*02	P	7q34	TRUE	TRUE	
TRBV3	TRBV3-2	TRBV3-2*03	(P)	7q34	TRUE	TRUE	
TRBV4	TRBV4-1	TRBV4-1*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-1	TRBV4-1*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-1	TRBV4-1*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-1	TRBV4-1*02	(F)	7q34	TRUE	TRUE	
TRBV4	TRBV4-2	TRBV4-2*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-2	TRBV4-2*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-2	TRBV4-2*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-2	TRBV4-2*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-2	TRBV4-2*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-2	TRBV4-2*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-2	TRBV4-2*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-2	TRBV4-2*02	(F)	7q34	TRUE	TRUE	
TRBV4	TRBV4-3	TRBV4-3*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-3	TRBV4-3*01	F	7q34	TRUE	TRUE	
TRBV4	TRBV4-3	TRBV4-3*02	(F)	7q34	TRUE	TRUE	
TRBV4	TRBV4-3	TRBV4-3*03	(F)	7q34	TRUE	TRUE	
TRBV4	TRBV4-3	TRBV4-3*04	(F)	7q34	TRUE	TRUE	
TRBV5	TRBV5-1	TRBV5-1*01	F	7q34	TRUE	TRUE	TRUE
TRBV5	TRBV5-1	TRBV5-1*02	(F)	7q34	TRUE	TRUE	
TRBV5	TRBV5-2	TRBV5-2*01	P	7q34	FALSE	FALSE	
TRBV5	TRBV5-2	TRBV5-2*01	P	7q34	FALSE	FALSE	
TRBV5	TRBV5-3	TRBV5-3*01	ORF	7q34	FALSE	FALSE	
TRBV5	TRBV5-3	TRBV5-3*01	ORF	7q34	FALSE	FALSE	
TRBV5	TRBV5-3	TRBV5-3*02	ORF	7q34	FALSE	FALSE	
TRBV5	TRBV5-4	TRBV5-4*01	F	7q34	TRUE	TRUE	
TRBV5	TRBV5-4	TRBV5-4*01	F	7q34	TRUE	TRUE	
TRBV5	TRBV5-4	TRBV5-4*01	F	7q34	TRUE	TRUE	
TRBV5	TRBV5-4	TRBV5-4*02	(F)	7q34	TRUE	TRUE	
TRBV5	TRBV5-4	TRBV5-4*03	(F)	7q34	TRUE	TRUE	
TRBV5	TRBV5-4	TRBV5-4*04	(F)	7q34	TRUE	TRUE	
TRBV5	TRBV5-5	TRBV5-5*01	F	7q34	TRUE	TRUE	TRUE
TRBV5	TRBV5-5	TRBV5-5*01	F	7q34	TRUE	TRUE	TRUE
TRBV5	TRBV5-5	TRBV5-5*02	(F)	7q34	TRUE	TRUE	
TRBV5	TRBV5-5	TRBV5-5*03	(F)	7q34	TRUE	TRUE	
TRBV5	TRBV5-6	TRBV5-6*01	F	7q34	TRUE	TRUE	TRUE
TRBV5	TRBV5-6	TRBV5-6*01	F	7q34	TRUE	TRUE	TRUE
TRBV5	TRBV5-7	TRBV5-7*01	ORF	7q34	FALSE	FALSE	
TRBV5	TRBV5-7	TRBV5-7*01	ORF	7q34	FALSE	FALSE	
TRBV5	TRBV5-7	TRBV5-7*01	ORF	7q34	FALSE	FALSE	
TRBV5	TRBV5-8	TRBV5-8*01	F	7q34	TRUE	TRUE	
TRBV5	TRBV5-8	TRBV5-8*02	(F)	7q34	TRUE	TRUE	
TRBV6	TRBV6-1	TRBV6-1*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-1	TRBV6-1*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-1	TRBV6-1*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-2	TRBV6-2*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-3	TRBV6-3*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-3	TRBV6-3*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-3	TRBV6-3*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-4	TRBV6-4*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-4	TRBV6-4*01	F	7q34	TRUE	TRUE	
TRBV6	TRBV6-4	TRBV6-4*02	F	7q34			
TRBV6	TRBV6-5	TRBV6-5*01	F	7q34	TRUE	TRUE	TRUE
